id,price_doc
30474,5529501.5
30475,7875010.0
30476,5346080.0
30477,5670729.5
30478,5005993.5
30479,7561187.5
30480,4081650.25
30481,4401015.5
30482,4883710.5
30483,4914238.0
30484,5914870.5
30485,4808227.0
30486,3600970.0
30487,3827756.5
30488,6279794.5
30489,6839280.5
30490,20941408.0
30491,18710570.0
30492,5632009.5
30493,13500576.0
30494,6422741.0
30495,12007350.0
30496,8680130.0
30497,7893466.0
30498,4623419.5
30499,8569376.0
30500,11558532.0
30501,6920245.5
30502,3218088.5
30503,6793924.5
30504,5475627.5
30505,11424264.0
30506,3369800.75
30507,4623490.0
30508,5516129.0
30509,7831322.0
30510,8895364.0
30511,6284638.5
30512,6524861.0
30513,4216002.5
30514,3992363.5
30515,9666894.0
30516,5845881.0
30517,9101214.0
30518,7928525.5
30519,4692353.0
30520,6378430.0
30521,5813337.5
30522,7366160.5
30523,6979045.0
30524,10280288.0
30525,10081760.0
30526,4821152.0
30527,5218633.5
30528,7099380.5
30529,6546705.0
30530,6548222.5
30531,15386786.0
30532,4734020.5
30533,9766320.0
30534,6470266.5
30535,9312514.0
30536,5978762.0
30537,11257590.0
30538,5078807.0
30539,12020940.0
30540,9684098.0
30541,6159350.5
30542,2285945.25
30543,5458226.0
30544,6309931.5
30545,8528716.0
30546,4437181.0
30547,8373947.0
30548,4751741.5
30549,5150089.0
30550,12275366.0
30551,5059079.5
30552,2102763.0
30553,6912081.0
30554,10719870.0
30555,6090697.5
30556,7135118.0
30557,7795081.0
30558,9339756.0
30559,4828068.0
30560,6053509.0
30561,6762180.0
30562,11328016.0
30563,4858880.5
30564,7197724.5
30565,6745641.5
30566,7149865.5
30567,2194393.25
30568,10219094.0
30569,9580724.0
30570,6457341.5
30571,6956053.5
30572,4708044.5
30573,6418003.5
30574,5808398.5
30575,7362507.0
30576,4657573.0
30577,4389969.0
30578,3375823.0
30579,7088928.5
30580,4968793.0
30581,5673786.0
30582,12650324.0
30583,6705002.0
30584,4643004.0
30585,2600916.75
