id,price_doc
30474,5697798.5
30475,8269505.0
30476,5031244.5
30477,5874558.0
30478,5383630.5
30479,8971362.0
30480,4672564.0
30481,4428077.5
30482,5076797.0
30483,4815938.0
30484,6640103.0
30485,5385392.0
30486,4083590.5
30487,4085748.75
30488,6588291.0
30489,6581672.0
30490,22728772.0
30491,16451083.0
30492,6063956.5
30493,13891382.0
30494,7291363.5
30495,9262696.0
30496,8020722.0
30497,8594235.0
30498,4399249.0
30499,8337909.0
30500,12139897.0
30501,6942342.5
30502,3357458.75
30503,5394089.0
30504,5391718.0
30505,11316362.0
30506,3287590.5
30507,5172876.0
30508,5791148.0
30509,7552584.0
30510,9699134.0
30511,6102122.5
30512,6097079.5
30513,4614728.0
30514,3547330.0
30515,10498673.0
30516,6248302.0
30517,10708191.0
30518,8504103.0
30519,4559851.5
30520,6664159.5
30521,3894523.75
30522,7299462.0
30523,5929685.5
30524,9155184.0
30525,9605537.0
30526,5251922.0
30527,5413589.5
30528,6198181.5
30529,7586939.5
30530,6381086.0
30531,15951811.0
30532,4742287.0
30533,10379012.0
30534,7674527.5
30535,9860728.0
30536,6079625.5
30537,12311073.0
30538,4762946.0
30539,9699597.0
30540,10021382.0
30541,5608649.5
30542,2205998.75
30543,5247922.0
30544,6694103.5
30545,9234348.0
30546,4445480.5
30547,9408634.0
30548,4664336.5
30549,5602416.0
30550,12215897.0
30551,5443430.0
30552,2010706.25
30553,6023070.0
30554,9814195.0
30555,6753964.0
30556,8458259.0
30557,7164950.5
30558,9184725.0
30559,5871220.0
30560,5734502.5
30561,6513032.0
30562,12542016.0
30563,5075059.0
30564,6585050.0
30565,6719464.0
30566,7733974.5
30567,2163648.5
30568,10360064.0
30569,9508960.0
30570,6691301.5
30571,7251068.0
30572,5306694.5
30573,6854333.0
30574,5972352.5
30575,7760580.0
30576,4870207.5
30577,3980102.5
30578,3246779.75
30579,6832346.0
30580,4407580.5
30581,5382645.0
30582,10230425.0
30583,7529606.5
30584,4162810.0
30585,2259001.75
30586,8473817.0
30587,6504106.0
30588,7293777.0
30589,7022790.5
30590,11734521.0
30591,5202366.5
30592,6716728.0
30593,7821864.5
30594,7737390.0
30595,6060690.0
30596,7136282.0
30597,6886957.5
30598,9920208.0
30599,12164048.0
30600,4951867.5
30601,5677052.0
30602,2044402.75
30603,12154006.0
30604,4395076.5
30605,7013915.0
30606,16626727.0
30607,5329187.0
30608,9084596.0
30609,6627444.0
30610,3264324.75
30611,5829614.5
30612,6971488.5
30613,8418336.0
30614,18487104.0
30615,7129928.0
30616,6024799.0
30617,9674395.0
30618,5041797.0
30619,4615459.0
30620,2879179.75
30621,8672162.0
30622,8263616.0
30623,6259126.5
30624,6886445.0
30625,8117683.0
30626,6706333.5
