ID,target
000137c73,2117105.188690102
00021489f,4415704.650588131
0004d7953,1119237.8044618722
00056a333,2398339.602828674
00056d8eb,432683.10754637915
0005fc190,1724748.1551822464
000787e86,1550685.4256125076
0008510a0,1440408.848512319
000895faf,8270966.096236293
000986fba,1230635.0169980794
0009efcc5,1494153.1879620652
000dd8f00,18172482.49784178
000e1cdc2,7547267.847415008
00103739c,2180285.721849606
00134b367,1713887.9544286835
001788d0d,3062268.3033514908
0019c8ad7,749708.0533291809
001a267b9,947473.4566044253
001a85486,2358383.147341558
001c4de06,672381.6959857204
001f9014b,2014784.0225186616
00216fb94,15575124.178244907
00235690e,1828181.6175038281
00240739d,5674952.539053106
0024c3747,2049307.4714934977
00297052d,926645.2432080744
002ab8f85,2274245.9430725514
002bed5c0,491897.6589703228
002bf3974,2403530.9758689543
002d23a26,5540227.412236974
002f27de9,349737.57642645965
0030d8bb4,4027440.0307889422
003146acd,1196245.041009242
003223263,1729501.9654422402
00335575e,2760804.746785923
00337cf9d,2948574.991753483
003394397,1804165.3666849963
0036358a3,5353420.536649934
003770d30,4462057.974079614
003bed5ea,491758.72909073543
003ea6427,1195451.187929981
003ef8132,10649351.040529773
003fd1723,3469277.1394954184
0041861b4,727106.8668141805
0042b718b,3408351.5981554748
004381d8f,931122.5413005062
0043ca764,1341795.8797672552
004486837,617161.9262792589
0045c123e,3088547.992104322
0048915c6,1724304.7613013664
004ab9a09,1379849.2877457582
004b2e1c9,2606257.8164155
004c54732,3505596.9574328284
004cdefce,1957281.1517117717
004dd971b,13551302.96818172
004f9329b,2989789.9362127488
004fd2bca,1285731.4926041993
0054bfedb,2522977.1690744883
0054ec58a,777364.949835873
00551f45d,12254598.416990917
005777b4c,5497234.080995563
00578d6ea,689397.8334413599
005802488,776769.6671589367
0059833b6,5063044.519845977
005a70085,1081868.9519973719
005b148a0,745185.507016564
005c28df4,885301.8922941393
005f8dc26,1458928.618944233
00603c202,736752.9482240952
006049609,5957637.468146899
00612f47e,1089431.1106247336
00647a57f,2840250.837595534
0065853ee,4780251.386293882
006589d5e,2413689.971992013
006598823,6385358.17421317
0065c093c,2282952.183301558
006738351,340841.20465744974
006a0c6a8,1925140.734001699
006e9efe6,2563203.083901035
006f029d3,2733569.1708589685
0070f35a2,8791434.710607944
007135f85,4343679.586506428
007285433,21838817.645518858
00735e101,5863923.882089331
0074ecf4e,879265.4288020948
007635fa9,1594595.2059392254
007723613,3545057.909843691
007867da9,1316450.1655943114
0078bfbd6,501983.03151286807
0078ce229,1774060.9304937194
007a89d50,3090030.380661359
007d43dfa,6163344.418682392
007ee9e05,1545978.1697298137
007ffeae2,2891149.652964357
00835c85c,1718515.7074976326
0084b08f1,692902.9771982649
0087fb290,1970338.9895567738
0088a96bd,4033704.6869396884
008ac4292,1692382.6604489565
008d8cca8,1025577.4709978568
008e07b8c,5455607.995351502
008e5e25a,1516592.4261201513
0094edcdb,831179.3569842434
00950141c,1906840.0934250522
009566ef1,2221975.897444033
0095c81d4,2696593.995385881
0097a6ed4,12725763.716207942
0098fef9a,899723.8974783767
009b321ec,3413623.13595298
009cd681e,3024288.081738783
009f34f86,1488168.2369745998
009f35cd3,4606211.359900161
009f65109,1293140.791372368
00a19014a,830514.5627567401
00a27e76a,942336.1509166464
00a3b6ef7,1922214.0556911402
00a427603,1751029.4532984176
00a6dc8be,2644373.686739312
00a811734,19815880.89933892
00a8f58a7,4394711.460918919
00aaae151,7480372.702596949
00ab17f67,643376.2886610536
00ac2d3a5,632955.339823204
00adab1b6,633356.416693598
00aef0d56,1792736.5811912331
00b0b06c4,1466401.6544650134
00b0e2303,1724576.5952447886
00b1fbbc9,502370.4239380944
00b43e0c1,1649624.2939664486
00b7190a8,1598127.1370624197
00b722e1b,1608985.2965349043
00bba815f,915411.724179767
00bbb1c42,913210.1194049678
00bc2b665,1251435.6980494573
00bc35689,2744565.759337971
00be23f52,891286.206867263
00be24ac5,2705770.1652411204
00bfd0f70,834120.8790945723
00c02f73e,1477239.2912422768
00c08e5b3,2115279.450147798
00c8690ff,8766358.508469218
00c8df4d5,3706671.4390573828
00c8e30de,1456640.824234993
00ca3fb04,262778.4438457179
00cabf621,694424.8553192809
00cb48ae3,3632980.2405863823
00cb6b147,1333725.7090724607
00cc91a22,1517853.9590133692
00cd65e9d,3564309.49960801
00cd7d6a8,2374962.0221640435
00cdc1483,5162146.5278050965
00ce9bea5,1705591.6061294524
00cea0091,6100521.780606506
00cea68c6,6844091.809616303
00d5a5975,397272.4997104016
00d80a3a4,33203084.890706155
00d9f3864,664849.6794883236
00da4bd31,6153961.671788017
00df4dd77,3232530.2972868066
00e1a55bf,2079532.0221289778
00e332971,3058501.2532143155
00e5b6b1b,3485066.949263658
00e85d5e3,3864969.662662349
00e90abfa,1057290.1457171289
00e9708b4,2151076.520057963
00e9c680f,6926754.4209066415
00eaa4394,1881364.4242335006
00eae8832,1033209.2695474168
00ebefdc0,2326791.691045898
00ecbcb1b,2771716.6287357244
00ed49382,3961520.809956868
00ed87564,6619952.786129535
00ef96cfd,254872.8287900645
00efe7ca3,3385914.3984933123
00f36aa18,1369287.6763671346
00f3fb071,2018003.0707996762
00f43f548,862219.8069009495
00f4d58ec,2192726.834974515
00f56e106,6797545.627611701
00f84d8c2,1813590.168054722
00f92953b,2752940.449547424
00fa1d469,7623246.654539037
00ff96f49,1545298.3636921973
0100ce0d8,1776235.6325704737
0102ea9e1,2651562.2832180685
0104b3af3,257561.4387700908
010672441,4248007.875794111
010771ca5,2149307.21725199
0108aea9f,800668.4265301832
010a479e1,2751304.5202020174
010d0a2dd,3028917.756877377
010e3cea2,958569.4734803389
010e5417b,3251892.374163202
01108a561,440514.2214936929
0110cca98,2257811.1442955122
011449698,6009898.497346836
0114795f0,2807989.2091471013
011626c20,2328157.8239325085
0117c8f27,2073444.3929177262
0117dcb47,5678100.9686676515
0118c34be,1255953.17529048
0119efcb9,4133064.5486905836
011a58e13,2325426.431893344
011b7902b,2163941.801445612
011ca122e,2849434.860420954
012053244,6355678.942950127
0122a258e,6074869.168620165
0122a4305,825548.1457463339
01230d8ba,2319643.431210004
012414f4e,594653.0301075225
012452125,1344001.8153977531
0124529b5,338365.51367466606
012556288,2392140.9011262967
01257c24c,841970.3256181038
01258b972,1106574.5840708474
0125b64db,1929442.8796729278
01295ef92,3719826.4301875657
012a2752f,317750.9711477102
012b6ba95,2200474.999717176
012b96b58,283185.3335850994
012e881b9,1127028.5396063998
012f25e94,1891900.2773610037
012fa70bb,1133361.8750467007
01304fc0a,1852349.0748584792
013230913,4260408.542393208
01336ceb8,1239170.042917259
0133b85e7,4055673.201326109
0136f8766,2132930.5804706956
0137356b9,531726.6478936953
013750184,422381.43578008923
013a3f07c,1590819.7748918154
013cc1c13,1448304.2537667379
013e96334,1712112.1887623286
013fae0b1,3917524.839009538
014076343,844058.0256540792
0140ea0ba,4226458.291531678
0143ee127,268073.30165804137
014461014,3690746.810489338
01446634f,597827.5260547982
014729fb2,8319114.311956134
014749c88,2831362.118781226
014787fc1,2599382.7097508255
014a6143c,949715.1258769778
014af25cd,647484.531151519
014b5797e,2841176.531483085
014badcb1,627043.1869164541
014c523b1,12858184.240081731
014e55fdb,2456917.793433894
014ea0456,1418632.3676986482
0151cc525,3104601.709055379
015409983,9866247.84981905
015411bfe,1607216.8820827408
01560b792,263120.4251895318
0157b07da,4267849.668907091
01587bbbc,915835.0729420283
0158ba234,2070767.3009569265
01590d52a,7883013.584885694
015a40790,659990.6157549019
015b07817,787981.5562429312
015fc3313,5005600.979863516
01604ee4b,3941527.020764154
016054375,3540457.0420273035
01642dec0,5082856.509045341
0166ab5ea,807263.6694342237
016b405be,746428.8949689418
016bdc940,4414234.874746941
016c31d1a,243561.62228600058
016d290da,3744418.9017631058
016decdd2,1504639.2492495126
016ee1214,4006267.1870825784
016efef23,11214228.556509368
016f60448,1450875.6683264861
017029678,1129326.9250228489
01704d4ca,577881.0819200322
0172638ce,536018.2505964882
0173e6be5,3515083.576390284
0174ed320,1354410.2806522907
017623c5c,1392011.9691388505
017a4044f,1066457.2260763254
017a6c7f9,1239540.630979633
017ae7ac3,2462298.532461801
017b80d83,9899045.097870117
017d9f1a4,1399358.9917831882
017e22e34,5586062.199437506
017e9a902,1563006.294017498
0180f14e9,3267058.064805672
018148c57,4175117.086488007
018166b42,1080982.1221926892
0181a6d0e,3112761.772016573
018283661,750858.4027327544
0183f9b32,852450.1459257939
0186cbba4,343029.4238484764
0188bc86f,1822440.5925184577
01890383f,3680348.9705563346
018965366,3923567.15799607
0189c8ab0,4868480.952978409
018d514a2,205204.27624895904
018d765bb,2467717.886945594
018dbbe73,1975885.3575921329
018de39ca,164608.76446235686
018fd935f,7072036.8564159535
018ffc9fa,776012.1449445746
019372984,1343309.1656231417
01937e592,580327.3439271789
019381521,1610702.9690390707
01952e574,2093840.4857346264
019540ad9,11191093.770203326
01955815c,3918343.508258891
0196be03d,3149057.4516777573
01978c738,881166.6177465715
0197f607c,1786567.3754809438
01980e862,3473994.2438018997
019823615,1867454.0294174945
019ab3785,3372753.7530410164
019c0d544,2873822.9649708485
019c5ad1d,1829015.1889949387
019cff829,4118383.878375552
019ed3e51,3192130.0033076685
019fd88df,2361953.2225699304
01a0a9e06,3143048.043397898
01a1f927c,1873999.7382403372
01a4d6c6c,1896947.220752809
01a697820,2700434.3089083782
01a72cedb,721736.021282114
01a900d08,1775897.7923878997
01a960c35,601673.6968947243
01aa854be,5177732.524742511
01ab08b6a,483771.7197466683
01ad8126b,459144.4091396125
01af69076,1189138.5798909275
01aff9a04,1287547.7089330235
01b128a94,930088.4464869938
01b1e697f,1311870.879919199
01b3159e1,8003885.969203522
01b342719,2817782.9763751
01b375dad,14863821.952562919
01b6d93e9,5444339.906273908
01b6e8722,912463.7017061765
01b728f6c,3267058.064805672
01b784536,2079835.418266518
01b7d0580,3995161.718722131
01b7defea,756834.1237343029
01b80bb3c,6800861.834518594
01b8c1484,3321085.6410879362
01bbb0d76,1006924.5431687173
01bc848d9,1091181.3750239385
01bd8211e,2567103.980426585
01bdda11d,4434422.458403794
01be390b4,689214.6958636323
01be6122c,2746188.8233458702
01c1d1fb0,1151349.6269829115
01c33d5d2,12524923.839765849
01c34e2ff,1275569.5484671432
01c362322,1303089.58518072
01c553e1a,160683.63520768526
01c65531d,508730.1034139237
01c6933d0,12869184.20245314
01c74c797,756514.3628088793
01c7eafe8,626526.6644121524
01c81cd35,9734198.614558123
01c898445,6217396.230034378
01c9fd3a7,1699313.4843671236
01ca7113f,1403137.2575008804
01cb0f6ea,4111992.3171247565
01cc582f5,225327.08625060975
01cca8141,1855164.6737421649
01cef01a2,284530.4615605747
01d10e85d,5172365.839383487
01d193713,2458025.0688538575
01d2fecbe,897201.3133413733
01d38c28f,629643.2644274842
01d396bc2,816220.9278264865
01d7bfe15,4225197.291538221
01d8282f2,599989.4699717717
01d94bd22,1060196.9605218354
01da2afeb,3340787.3538634153
01db02cda,1311278.7101648082
01dd4ee95,1493441.5051721393
